pre_skeleton_id,post_skeleton_id,weight
2506050,16627773,2
2506050,16627838,2
2506050,16627861,4
2506050,16629757,2
2506050,16629788,6
2506050,16629931,4
2506050,16630024,2
2506050,16630264,10
2506050,16630385,6
2506050,16630941,8
2506050,16631114,4
2506050,16631222,2
2506050,16720240,12
2506050,16850888,8
2506050,16977881,4
2506050,17016974,4
2506050,17109158,1
2506050,17147410,8
2506050,17438757,1
2506050,17795560,1
2552448,4391978,1
2552701,7555968,5
2557644,3813487,1
2557644,4391978,4
2568465,3450751,1
2568465,3886356,1
2568465,4134539,1
2568465,16223537,4
2568522,16223537,7
2571761,4119387,4
2571761,8243455,111
2571761,8244723,3
2571761,8245014,1
2571761,11279244,3
2571761,14604028,11
2582391,3813487,1
2582391,4119387,2
2582391,8243455,1
2582391,8245692,2
2582391,8252067,41
2582391,11279244,3
2582391,16795524,1
2584838,3712893,3
2584838,3813487,3
2584838,4119387,24
2584838,8246081,1
2584838,8252067,2
2584838,8256186,90
2584838,11543212,7
2606777,4119387,1
2608843,4119387,15
2608843,8140109,4
2608843,8244723,1
2608843,8245692,95
2610744,2612527,2
2610744,16795524,13
2610744,16795838,7
2611805,3486381,1
2611805,3813487,1
2611805,7864823,1
2611805,7865696,47
2611805,7865767,9
2611805,7873135,1
2611805,11543212,2
2611805,16795524,1
2611805,16795838,1
2612527,2369444,1
2612527,2612527,2
2612527,2966602,10
2612527,2979675,2
2612527,3048606,4
2612527,3157405,8
2612527,3486381,2
2612527,3814651,1
2612527,3814701,1
2612527,3946569,3
2612527,3979181,1
2612527,4274518,3
2612527,4422289,1
2612527,4607160,5
2612527,4637677,1
2612527,4780707,1
2612527,4785242,2
2612527,5091874,3
2612527,5186443,2
2612527,5321459,1
2612527,5474852,3
2612527,5688091,2
2612527,5734134,3
2612527,5744058,3
2612527,5874480,11
2612527,6494382,1
2612527,6837845,1
2612527,6837940,1
2612527,6837995,1
2612527,6838002,2
2612527,6838170,1
2612527,6838280,1
2612527,6838376,1
2612527,6838450,1
2612527,6838663,1
2612527,6838689,1
2612527,6838717,2
2612527,6838764,1
2612527,6838771,1
2612527,6838818,1
2612527,6838984,1
2612527,6838991,1
2612527,6839059,3
2612527,6839094,1
2612527,6839115,2
2612527,6839143,1
2612527,6839426,1
2612527,6839543,1
2612527,6839550,1
2612527,6839557,1
2612527,6839571,2
2612527,6839578,1
2612527,6839585,2
2612527,6867464,2
2612527,6867485,1
2612527,6867506,1
2612527,6867521,1
2612527,6867528,1
2612527,6867567,3
2612527,6867588,2
2612527,6867618,2
2612527,6867806,1
2612527,6867813,1
2612527,6868062,1
2612527,6868090,2
2612527,6868129,2
2612527,7159967,1
2612527,7309349,1
2612527,7389345,1
2612527,7934904,2
2612527,8347720,1
2612527,8509534,2
2612527,8542422,1
2612527,8640212,3
2612527,8687096,7
2612527,8864778,3
2612527,8974428,1
2612527,8993049,4
2612527,9015745,6
2612527,9236708,6
2612527,9351843,1
2612527,9447255,3
2612527,9488991,1
2612527,9643439,1
2612527,9971209,3
2612527,9983417,3
2612527,10209260,1
2612527,10612094,1
2612527,10658673,1
2612527,10702736,3
2612527,10710503,1
2612527,10797407,4
2612527,10842047,1
2612527,10874769,6
2612527,10918898,1
2612527,10990803,1
2612527,11003660,3
2612527,11027071,8
2612527,11051740,22
2612527,11135340,4
2612527,11216417,1
2612527,11329998,2
2612527,11348509,3
2612527,11389855,4
2612527,11706820,1
2612527,11928691,1
2612527,12281339,2
2612527,12299621,3
2612527,12299647,3
2612527,12299704,2
2612527,12299805,7
2612527,12356747,1
2612527,12726582,12
2612527,12782494,2
2612527,12840470,2
2612527,13422280,5
2612527,14162492,5
2612527,14319185,8
2612527,14333371,2
2612527,14433267,1
2612527,14514597,1
2612527,14575078,1
2612527,14973453,2
2612527,15398730,2
2612527,15517247,4
2612527,15523078,1
2612527,15523093,3
2612527,15541971,6
2612527,15546542,1
2612527,15576292,1
2612527,15592096,2
2612527,15636958,1
2612527,15647356,1
2612527,15647408,1
2612527,15647451,2
2612527,15647504,1
2612527,15647526,3
2612527,15647550,1
2612527,15647599,1
2612527,15647605,1
2612527,15668309,14
2612527,15906558,3
2612527,15985265,2
2612527,16089738,12
2612527,16089743,3
2612527,16098538,3
2612527,16100461,2
2612527,16160495,1
2612527,16297403,1
2612527,16335254,5
2612527,16386470,1
